Title,References,Included,Choper (2011)+S - DeBruyne,Farber (2013)+S - DeBruyne,Barnett (2013)+S - DeBruyne,Stone (2013)+S - DeBruyne,Sullivan (2013)+S - Eichenberger,Varat (2013?)+S - Eichenberger,Chemerinsky (2013)+S -Taylor,Rotunda (2012?)+S -Taylor,Funk -Taylor,Maggs-Taylor,Paulson (2013)+S - DeBruyne,Shanor (2009)+S - DeBruyne,Young-Eichenberger,Massey (2012)+S - DeBruyne,Weaver (2013)+S - DeBruyne,Brettschneider-Eichenberger,Epstein-Walker (Vol 1) (2013)+S - Eichenberger,Epstein-Walker (Vol 2) (2013)+S - Eichenberger,Fisher (Vol 1) 10e (2013) - Taylor,Fisher (Vol 2) 10e (2013) - Taylor,Murphy et al. (2013) - DeBruyne,Gillman et al. Vol 1 (2012) - DeBruyne,Gillman et al. Vol 2 (2012) - DeBruyne,Citation,ID,Date,Category,Issue,Legal Provision
"Commonwealth v. Griffith",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"undefined",undefined,undefined,undefined,undefined,undefined
"Commonwealth v. Jennison",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"undefined",undefined,undefined,undefined,undefined,undefined
"Commonwealth v. Wolf",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"undefined",undefined,undefined,undefined,undefined,undefined
"Consolidated Edison Co. of New York v. Public Service Comission",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"undefined",undefined,undefined,undefined,undefined,undefined
"Consolidated Freightways Corp. v. Kassell",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"undefined",undefined,undefined,undefined,undefined,undefined
"Coolidge v. New Hampshire",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"403 U.S. 443","1970-137","1971-06-21","Criminal Procedure","search and seizure, vehicles","Constitutional Amendment: Fourth Amendment"
"Correspondence of the Justices (1793)",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"undefined",undefined,undefined,undefined,undefined,undefined
"Crawford v. Board of Education, City of Los Angeles ",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"undefined",undefined,undefined,undefined,undefined,undefined
"CTS Corp. v. Dynamics Corp.",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"undefined",undefined,undefined,undefined,undefined,undefined
"Cumming v. Board of Education",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"175 U.S. 528","1899-038","1899-12-18","Civil Rights","desegregation, schools","Constitutional Amendment: Fourteenth Amendment (equal protection)"
"Curtis Publg. Co. v. Butts",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"undefined",undefined,undefined,undefined,undefined,undefined
"DaimlerChrysler Corp. v. Cuno",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"undefined",undefined,undefined,undefined,undefined,undefined
"Dartmouth College v. Woodward ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"17 U.S. 518","1819-021","1819-02-25","Economic Activity","state or local government regulation, especially of business (cf. federal pre-emption of state court jurisdiction, federal pre-emption of state legislation or regulation)","Constitution: Article I, Section 10, Paragraph 1 (contract clause)"
"Davis v. Beason",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"133 U.S. 333","1889-117","1890-02-03","First Amendment","establishment of religion (other than as pertains to parochiaid:)","Constitutional Amendment: First Amendment (establishment of religion)"
"Davis v. Massachusetts",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"167 U.S. 43","1896-179","1897-05-10","First Amendment","First Amendment, miscellaneous (cf. comity: First Amendment)","Constitutional Amendment: Fourteenth Amendment (due process)"
"Democratic Party of United States v. Wisconsin",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"450 U.S. 107","1980-043","1981-02-25","First Amendment","First Amendment, miscellaneous (cf. comity: First Amendment)","Constitutional Amendment: First Amendment (association)"
"District Attorney's Office v. Osborne",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"557 U.S. 52","2008-071","2009-06-18","Criminal Procedure","discovery and inspection (in the context of criminal litigation only, otherwise Freedom of Information Act and related federal or state statutes or regulations)","Constitutional Amendment: Fourteenth Amendment (due process) (NA)"
"Doe #1 v. Reed",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"561 U.S. 186","2009-081","2010-06-24","Privacy","Freedom of Information Act and related federal or state statutes or regulations","Constitutional Amendment: First Amendment (speech, press, and assembly) (NA)"
"Doe v. Bolton",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"410 U.S. 179","1972-049","1973-01-22","Privacy","abortion: including contraceptives","Constitutional Amendment: Fourteenth Amendment (due process)"
"Doe v. University of Michigan",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"undefined",undefined,undefined,undefined,undefined,undefined
"Downes v. Bidwell",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"182 U.S. 244","1900-200","1901-05-27","Miscellaneous","executive authority vis-a-vis congress or the states","No Legal Provision: No Legal Provision"
"Duke Power Co. v. Carolina Environmental Study Group, Inc.",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"438 U.S. 59","1977-140","1978-06-26","Economic Activity","federal and some few state regulation of public utilities regulation: nuclear power","Federal Statute: Atomic Energy"
"Durand v. Hollins",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"undefined",undefined,undefined,undefined,undefined,undefined
"Earley v. DiCenso",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"undefined",undefined,undefined,undefined,undefined,undefined
"Easley v. Cromartie",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"532 U.S. 234","2000-041","2001-04-18","Civil Rights","reapportionment: other than plans governed by the Voting Rights Act","Constitutional Amendment: Fourteenth Amendment (equal protection)"
"Edgewood Independent School District v. Kirby",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"undefined",undefined,undefined,undefined,undefined,undefined
