term,docket,usCite,caseTitle,dateArgument,dateRearg,audioExists,advocatesPetitioner,advocatesRespondent,advocatesOther,dateDecision,caseLink
1978,"77-6885","439 U.S. 14","Presnell v. Georgia","","",false,"","","","1978-11-06","https://www.oyez.org/cases/1978/77-6885"
1978,"77-1792","439 U.S. 24","Board of Trustees of Keene State College v. Sweeney","","",false,"","","","1978-11-13","https://www.oyez.org/cases/1978/77-1792"
1978,"5 Orig.","439 U.S. 30","United States v. California","","",false,"","","","1978-11-27","https://www.oyez.org/cases/1978/5_orig"
1978,"77-120","439 U.S. 32","Dougherty County Board of Education v. White","1978-10-02,1978-10-03","",true,"jesse_walters","john_myer","lawrence_wallace","1978-11-28","https://www.oyez.org/cases/1978/77-120"
1978,"77-515","439 U.S. 60","Holt Civic Club v. City of Tuscaloosa","1978-10-11","",true,"edward_still","wagner_finnell","","1978-11-28","https://www.oyez.org/cases/1978/77-515"
1978,"78-344","439 U.S. 89","Union Pacific Railroad Company v. Sheehan","","",false,"","","","1978-12-04","https://www.oyez.org/cases/1978/78-344"
1978,"77-837","439 U.S. 96","New Motor Vehicle Board of California v. Orrin W. Fox Company","1978-10-03,1978-10-04","",true,"","william_coleman","james_mccall,robert_mukai","1978-12-05","https://www.oyez.org/cases/1978/77-837"
1978,"77-5781","439 U.S. 128","Rakas v. Illinois","1978-10-03","",true,"joseph_weller","donald_mackay","","1978-12-05","https://www.oyez.org/cases/1978/77-5781"
1978,"77-991","439 U.S. 170","Califano v. Aznavorian","1978-11-06","",true,"","","peter_buscemi,peter_schey","1978-12-11","https://www.oyez.org/cases/1978/77-991"
1978,"77-1016","439 U.S. 180","United California Bank v. United States","1978-10-04","",true,"ronald_gother","carr_ferguson","","1978-12-11","https://www.oyez.org/cases/1978/77-1016"
1978,"77-5903","439 U.S. 212","Corbitt v. New Jersey","1978-10-03","",true,"james_smith","john_decicco","","1978-12-11","https://www.oyez.org/cases/1978/77-5903"
1978,"77-832","439 U.S. 234","Board of Governors of Federal Reserve System v. First Lincolnwood Corporation","1978-10-11","",true,"stephen_shapiro","george_collins","","1978-12-11","https://www.oyez.org/cases/1978/77-832"
1978,"77-1115","439 U.S. 259","Lalli v. Lalli","1978-10-04","",true,"leonard_henkin","irwin_strum","suzanne_mcgrattan","1978-12-11","https://www.oyez.org/cases/1978/77-1115"
1978,"77-1388","439 U.S. 280","Massachusetts v. White","1978-11-28","",true,"","","barbara_smith,robert_cohen","1978-12-11","https://www.oyez.org/cases/1978/77-1388"
1978,"77-6248","439 U.S. 281","Hunter v. Dean","1978-10-11","",true,"","","james_bonner,stephen_parker","1978-12-11","https://www.oyez.org/cases/1978/77-6248"
1978,"77-1202","439 U.S. 282","Michigan v. Doran","1978-10-04","",true,"robert_derengoski","","kathleen_cummins","1978-12-18","https://www.oyez.org/cases/1978/77-1202"
1978,"77-1265","439 U.S. 299","Marquette National Bank of Minneapolis v. First of Omaha Service Corporation","1978-10-31","",true,"john_troyer,richard_allyn","robert_bork","","1978-12-18","https://www.oyez.org/cases/1978/77-1265"
1978,"78-308","439 U.S. 320","Mobay Chemical Corporation v. Costle","","",false,"","","","1979-01-08","https://www.oyez.org/cases/1978/78-308"
1978,"77-1305","439 U.S. 322","Parklane Hosiery Company, Inc. v. Shore","1978-10-30","",true,"jack_levitt","samuel_rosen","","1979-01-09","https://www.oyez.org/cases/1978/77-1305"
1978,"77-6067","439 U.S. 357","Duren v. Missouri","1978-11-01","",true,"lee_nation,ruth_ginsburg","nanette_laughrey","","1979-01-09","https://www.oyez.org/cases/1978/77-6067"
1978,"77-891","439 U.S. 379","Colautti v. Franklin","1978-10-03","",true,"carol_mansmann","roland_morris","","1979-01-09","https://www.oyez.org/cases/1978/77-891"
1978,"77-1051","439 U.S. 410","Givhan v. Western Line Consolidated School District","1978-11-07","",true,"david_rubin","robertshaw_robertshaw","","1979-01-09","https://www.oyez.org/cases/1978/77-1051"
1978,"8 Orig.","439 U.S. 419","Arizona v. California","","",false,"","","","1979-01-09","https://www.oyez.org/cases/1978/8_orig"
1978,"77-1618","439 U.S. 438","Leis v. Flynt","","",false,"","","","1979-01-15","https://www.oyez.org/cases/1978/77-1618"
1978,"77-6062","439 U.S. 459","Harlin v. Missouri","","",false,"","","","1979-01-15","https://www.oyez.org/cases/1978/77-6062"
1978,"77-6066","439 U.S. 461","Lee v. Missouri","","",false,"","","","1979-01-15","https://www.oyez.org/cases/1978/77-6066"
1978,"77-388","439 U.S. 463","Washington v. Confederated Bands and Tribes of the Yakima Indian Nation","1978-10-02","",true,"slade_gorton","james_hovis","louis_claiborne","1979-01-16","https://www.oyez.org/cases/1978/77-388"
1978,"77-648","439 U.S. 508","Federal Energy Regulatory Commission v. Pennzoil Producing Company","1978-11-28","",true,"","jeron_stevens,thomas_johnson","barnett_barnett","1979-01-16","https://www.oyez.org/cases/1978/77-648"
1978,"77-920","439 U.S. 522","Thor Power Tool v. Commissioner of Internal Revenue","1978-11-01","",true,"mark_berens","stuart_smith","","1979-01-16","https://www.oyez.org/cases/1978/77-920"
1978,"77-753","439 U.S. 551","International Brotherhood of Teamsters, Chauffeurs, Warehousemen & Helpers of America v. Daniel","1978-10-31","",true,"sherman_carmell,sidney_dickstein","lawrence_walner,peter_barack","jacob_stillman","1979-01-16","https://www.oyez.org/cases/1978/77-753"
1978,"77-533","439 U.S. 572","Hisquierdo v. Hisquierdo","1978-11-01","",true,"james_endman","howard_fields","elinor_stillman,herma_kay","1979-01-22","https://www.oyez.org/cases/1978/77-533"
