term,caseTitle,docket,dateArgument,url,file,notes
"1968","Kirkpatrick v. Preisler","30","1969-01-13","https://www.supremecourt.gov/pdfs/transcripts/1968/68-30_68-31_01-13-1969.pdf","/sources/scotus/transcripts/1968/30_1969-01-13.pdf",""
"1968","Wells v. Rockefeller","238","1969-01-13","https://www.supremecourt.gov/pdfs/transcripts/1968/68-238_01-13-1969.pdf","/sources/scotus/transcripts/1968/238_1969-01-13.pdf",""
"1968","Gunn v. University Comm. to End War in Viet Nam","269","1969-01-13","https://www.supremecourt.gov/pdfs/transcripts/1968/68-269_01-13-1969.pdf","/sources/scotus/transcripts/1968/269_1969-01-13.pdf",""
"1968","Trainmen v. O'Connell","158","1969-01-14","https://www.supremecourt.gov/pdfs/transcripts/1968/68-158_01-14-1969.pdf","/sources/scotus/transcripts/1968/158_1969-01-14.pdf",""
"1968","Dirks v. Birkholz","172","1969-01-14","https://www.supremecourt.gov/pdfs/transcripts/1968/68-172_01-14-1969.pdf","/sources/scotus/transcripts/1968/172_1969-01-14.pdf",""
"1968","Gunn v. University Comm. to End War in Viet Nam","269","1969-01-14","https://www.supremecourt.gov/pdfs/transcripts/1968/68-269_01-14-1969.pdf","/sources/scotus/transcripts/1968/269_1969-01-14.pdf",""
"1968","Scofield v. NLRB","273","1969-01-14","https://www.supremecourt.gov/pdfs/transcripts/1968/68-273_01-14-1969.pdf","/sources/scotus/transcripts/1968/273_1969-01-14.pdf",""
"1968","Stanley v. Georgia","293","1969-01-14","https://www.supremecourt.gov/pdfs/transcripts/1968/68-293_01-14-1969.pdf","/sources/scotus/transcripts/1968/293_1969-01-14.pdf",""
"1968","Citizen Publishing Co. v. United States","243","1969-01-15","https://www.supremecourt.gov/pdfs/transcripts/1968/68-243_01-15-1969.pdf","/sources/scotus/transcripts/1968/243_1969-01-15.pdf",""
"1968","United States v. Skelly Oil Co.","280","1969-01-15","https://www.supremecourt.gov/pdfs/transcripts/1968/68-280_01-15-1969.pdf","/sources/scotus/transcripts/1968/280_1969-01-15.pdf",""
"1968","Federal Marine Terminals, Inc. v. Burnside Shipping Co.","291","1969-01-15","https://www.supremecourt.gov/pdfs/transcripts/1968/68-291_01-15-1969.pdf","/sources/scotus/transcripts/1968/291_1969-01-15.pdf",""
"1968","Stanley v. Georgia","293","1969-01-15","https://www.supremecourt.gov/pdfs/transcripts/1968/68-293_01-15-1969.pdf","/sources/scotus/transcripts/1968/293_1969-01-15.pdf",""
"1968","Kaiser v. New York","62","1969-01-16","https://www.supremecourt.gov/pdfs/transcripts/1968/68-62_01-16-1969.pdf","/sources/scotus/transcripts/1968/62_1969-01-16.pdf",""
"1968","Kramer v. Union Free School Dist. No. 15","258","1969-01-16","https://www.supremecourt.gov/pdfs/transcripts/1968/68-258_01-16-1969.pdf","/sources/scotus/transcripts/1968/258_1969-01-16.pdf",""
"1968","Golden v. Zwickler","370","1969-01-16","https://www.supremecourt.gov/pdfs/transcripts/1968/68-370_01-16-1969.pdf","/sources/scotus/transcripts/1968/370_1969-01-16.pdf",""
"1968","Dunbar-Stanley Studios, Inc. v. Alabama","376","1969-01-16","https://www.supremecourt.gov/pdfs/transcripts/1968/68-376_01-16-1969.pdf","/sources/scotus/transcripts/1968/376_1969-01-16.pdf",""
"1968","Snyder v. Harris","109","1969-01-21","https://www.supremecourt.gov/pdfs/transcripts/1968/68-109_01-21-1969.pdf","/sources/scotus/transcripts/1968/109_1969-01-21.pdf",""
"1968","The Gas Service Company v. Coburn","117","1969-01-21","https://www.supremecourt.gov/pdfs/transcripts/1968/68-117_01-21-1969.pdf","/sources/scotus/transcripts/1968/117_1969-01-21.pdf",""
"1968","Hadnott v. Amos","647","1969-01-21","https://www.supremecourt.gov/pdfs/transcripts/1968/68-647_01-21-1969.pdf","/sources/scotus/transcripts/1968/647_1969-01-21.pdf",""
"1968","Zenith Radio Corp. v. Hazeltine Research, Inc.","49","1969-01-22","https://www.supremecourt.gov/pdfs/transcripts/1968/68-49_01-22-1969.pdf","/sources/scotus/transcripts/1968/49_1969-01-22.pdf",""
"1968","The Gas Service Company v. Coburn","117","1969-01-22","https://www.supremecourt.gov/pdfs/transcripts/1968/68-117_01-22-1969.pdf","/sources/scotus/transcripts/1968/117_1969-01-22.pdf",""
